tp_code,centre_code,centre_name,organisation_code,organisation_description,service_model,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,infant_vacancy_current_month,infant_vacancy_next_month,infant_vacancy_third_month,infant_vacancy_fourth_month,infant_vacancy_fifth_month,infant_vacancy_sixth_month,infant_vacancy_seventh_month,pg_vacancy_current_month,pg_vacancy_next_month,pg_vacancy_third_month,pg_vacancy_fourth_month,pg_vacancy_fifth_month,pg_vacancy_sixth_month,pg_vacancy_seventh_month,n1_vacancy_current_month,n1_vacancy_next_month,n1_vacancy_third_month,n1_vacancy_fourth_month,n1_vacancy_fifth_month,n1_vacancy_sixth_month,n1_vacancy_seventh_month,n2_vacancy_current_month,n2_vacancy_next_month,n2_vacancy_third_month,n2_vacancy_fourth_month,n2_vacancy_fifth_month,n2_vacancy_sixth_month,n2_vacancy_seventh_month,k1_vacancy_current_month,k1_vacancy_next_month,k1_vacancy_third_month,k1_vacancy_fourth_month,k1_vacancy_fifth_month,k1_vacancy_sixth_month,k1_vacancy_seventh_month,k2_vacancy_current_month,k2_vacancy_next_month,k2_vacancy_third_month,k2_vacancy_fourth_month,k2_vacancy_fifth_month,k2_vacancy_sixth_month,k2_vacancy_seventh_month,food_offered,second_languages_offered,spark_certified,weekday_full_day,saturday,scheme_type,extended_operating_hours,provision_of_transport,government_subsidy,gst_regisration,last_updated,remarks,contactno_lifesg,emailaddress_lifesg,website_lifesg
na,SK0001,Skool4Kidz Preschool,SK,Skool4Kidz Pte Ltd,CC,63754149,wlcm@skool4kidz.com.sg,"782D,WOODLANDS CRESCENT,#01-341,734782",734782,https://skool4kidz.com.sg/,Limited,Limited,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,63754149,wlcm@skool4kidz.com.sg,https://skool4kidz.com.sg/
na,PT9216,Small Wonder Preschool Woodlands Drive,PT,Private Operators,CC,62694337,alicianeo@smallwonderpreschool.com,"769,WOODLANDS DRIVE 60,#01-130,730769",730769,na,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,2026-07-17,na,62694337,alicianeo@smallwonderpreschool.com,na
na,PT9148,STAR LEARNERS @ WOODLANDS CIRCLE PTE. LTD.,PT,Private Operators,CC,62500173,INFO@STARLEARNERS.COM.SG,"764A,WOODLANDS CIRCLE,#01-300,731764",731764,https://starlearners.com.sg/our-centres/woodlands-circle/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,2026-07-17,na,62500173,INFO@STARLEARNERS.COM.SG,https://starlearners.com.sg/our-centres/woodlands-circle/
na,PT9118,Small Wonder Preschool Woodlands Close,PT,Private Operators,CC,62620098,cynthiathomas@smallwonderpreschool.com,"11,WOODLANDS CLOSE,#01-25,WOODLANDS 11,737853",737853,https://smallwonderpreschool.com,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,2026-07-17,na,62620098,cynthiathomas@smallwonderpreschool.com,https://smallwonderpreschool.com
na,PT9116,STAR LEARNERS @ WOODLANDS PTE LTD,PT,Private Operators,CC,62500173,info@starlearners.com.sg,"11,WOODLANDS CLOSE,#01-22,WOODLANDS 11,737853",737853,https://starlearners.com.sg/our-centres/woodlands-11/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,Limited,Limited,Limited,Limited,Limited,Limited,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,Yes,Yes,Yes,2026-07-17,na,62500173,info@starlearners.com.sg,https://starlearners.com.sg/our-centres/woodlands-11/
na,PT3460,Sunshine Kids Preschool @Woodlands Pte Ltd,PT,Private Operators,CC,63660432,woodlands@sunshinekids.com.sg,"795,WOODLANDS DR 72,#01-01,730795",730795,sunshinekids.com.sg,Available,Available,Available,Available,Available,Available,Available,Available,Full,Full,Full,Full,Full,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,No,2026-07-17,na,63660432,woodlands@sunshinekids.com.sg,sunshinekids.com.sg
na,NT0578,MY FIRST SKOOL,NT,NTUC First Campus Co-Operative Ltd,CC,66349989,INFO@MYFIRSTSKOOL.COM,"785E,WOODLANDS RISE,#02-01,735785",735785,https://www.myfirstskool.com/wdc08-lifesg,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,66349989,cust_engagement@ntucfirstcampus.com,https://www.myfirstskool.com/wdc08-lifesg
na,NT0559,MY FIRST SKOOL,NT,NTUC First Campus Co-Operative Ltd,CC,66349989,info@myfirstskool.com,"678,WOODLANDS AVENUE 6,#02-724,730678",730678,https://www.myfirstskool.com/wd6-lifesg,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Limited,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,66349989,cust_engagement@ntucfirstcampus.com,https://www.myfirstskool.com/wd6-lifesg
na,NT0479,MY FIRST SKOOL,NT,NTUC First Campus Co-Operative Ltd,CC,66349989,info@myfirstskool.com,"742,WOODLANDS CIRCLE,#01-443,730742",730742,https://www.myfirstskool.com/wd4-lifesg,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,66349989,cust_engagement@ntucfirstcampus.com,https://www.myfirstskool.com/wd4-lifesg
na,NT0471,MY FIRST SKOOL,NT,NTUC First Campus Co-Operative Ltd,CC,66349989,info@myfirstskool.com,"688C,WOODLANDS DRIVE 75,#01-44,733688",733688,https://www.myfirstskool.com/wd3-lifesg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,66349989,cust_engagement@ntucfirstcampus.com,https://www.myfirstskool.com/wd3-lifesg
na,ST0265,PCF Sparkletots Preschool @ Tampines Central Blk 725 (DS),ST,PCF Sparkletots Preschool Limited,DS,67893677,TC.DS.725@pcf.org.sg,"725,Tampines Street 71,#01-179,520725",520725,www.pcf.org.sg/sparkletots/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay|Tamil,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,64853300,email@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0185,PCF SPARKLETOTS PRESCHOOL @ TAMPINES WEST BLK 887 (CC),ST,PCF Sparkletots Preschool Limited,CC,67836365,TW.CC.887@pcf.org.sg,"887,TAMPINES STREET 81,#01-1006,520887",520887,www.pcf.org.sg/sparkletots/,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,64853300,email@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0154,PCF SPARKLETOTS PRESCHOOL @ TAMPINES WEST BLK 890A (CC),ST,PCF Sparkletots Preschool Limited,CC,62600316,TW.CC.890A@pcf.org.sg,"890A,TAMPINES AVENUE 1,#01-309,521890",521890,www.pcf.org.sg/sparkletots/,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,No Pork No Lard with Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,64853300,email@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0142,PCF SPARKLETOTS PRESCHOOL @ TAMPINES CENTRAL BLK 858 (CC),ST,PCF Sparkletots Preschool Limited,CC,67885737,TC.CC.858@pcf.org.sg,"858,TAMPINES AVENUE 5,#01-529,520858",520858,www.pcf.org.sg/sparkletots/,Full,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,64853300,email@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0116,PCF SPARKLETOTS PRESCHOOL @ TAMPINES CENTRAL BLK 867A (CC),ST,PCF Sparkletots Preschool Limited,CC,67837868,TC.CC.867A@pcf.org.sg,"867A,TAMPINES STREET 83,#01-265,521867",521867,www.pcf.org.sg/sparkletots/,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Limited,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,64853300,email@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0113,PCF SPARKLETOTS PRESCHOOL @ TAMPINES CENTRAL BLK 713 (CC),ST,PCF Sparkletots Preschool Limited,CC,62601386,TC.CC.713@pcf.org.sg,"713,TAMPINES STREET 71,#01-196,520713",520713,www.pcf.org.sg/sparkletots/,Full,Full,Full,Full,Full,Full,Available,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,64853300,email@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,ST0011,PCF SPARKLETOTS PRESCHOOL @ TAMPINES WEST BLK 942 (EY),ST,PCF Sparkletots Preschool Limited,EYC-DS,67849448,TW.EY.942@pcf.org.sg,"942,TAMPINES AVENUE 5,#01-251,520942",520942,www.pcf.org.sg/sparkletots/,Full,Full,Full,Full,Full,Full,Available,Available,Available,Available,Available,Available,Available,Available,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Limited,Limited,Limited,Full,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,64853300,email@pcf.org.sg,www.pcf.org.sg/sparkletots/
na,RC1400,Little Seeds Preschool,RC,Not-for-Profit Organisation,CC,67831912,kiddyark.cc@littleseeds.edu.sg,"727,TAMPINES STREET 71,#01-11,520727",520727,www.littleseeds.edu.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (from Non-Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,2026-07-17,na,67831912,kiddyark.cc@littleseeds.edu.sg,www.littleseeds.edu.sg
na,PT9511,THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD,PT,Private Operators,CC,69081239,lshtep01@littleskoolhouse.com,"21,TAMPINES AVENUE 1,#01-87,TEMASEK POLYTECHNIC,529757",529757,https://www.littleskoolhouse.com/,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Full,Limited,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,2026-07-17,na,69081239,lshtep01@littleskoolhouse.com,https://www.littleskoolhouse.com/our-centres/at-temasek-polytechnic/
na,PT8741,NURTURESTARS PTE. LTD.,PT,Private Operators,CC,67898393,enquirytm@nurturestars.sg,"1A,TAMPINES STREET 92,SAFRA TAMPINES CLUBHOUSE,528882",528882,www.nurturestars.sg,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Available,Available,Available,Available,Available,Available,Full,Available,Available,Available,Available,Available,Available,Full,Limited,Limited,Limited,Limited,Limited,Available,Full,Limited,Limited,Limited,Limited,Limited,Available,Full,Available,Available,Available,Available,Available,Available,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese,Yes,07:00-19:00,na,Partner Operator Scheme,No,No,Yes,Yes,2026-07-17,na,67898393,enquirytm@nurturestars.sg,www.nurturestars.sg
na,NT0503,MY FIRST SKOOL,NT,NTUC First Campus Co-Operative Ltd,CC,66349989,info@myfirstskool.com,"803,TAMPINES AVENUE 4,#01-89,520803",520803,https://www.myfirstskool.com/tm3-lifesg,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Full,Limited,Limited,Limited,Limited,Limited,Limited,Limited,Full,Full,Full,Full,Full,Full,Limited,Full,Full,Full,Full,Full,Full,Full,No Pork No Lard with No Beef (without Certification from MUIS but from Halal Sources),Chinese|Malay,Yes,07:00-19:00,na,Anchor Operator Scheme,No,No,Yes,Yes,2026-07-17,na,66349989,cust_engagement@ntucfirstcampus.com,https://www.myfirstskool.com/tm3-lifesg
